Friday,22,10 hours 5 mins
Friday,23,10 hours 1 min
Saturday,0,10 hours 3 mins
Saturday,1,10 hours 5 mins
Saturday,2,10 hours 6 mins
Saturday,3,10 hours 10 mins
Saturday,4,10 hours 11 mins
Saturday,5,10 hours 18 mins
Saturday,6,10 hours 14 mins
Saturday,7,10 hours 6 mins
Saturday,8,10 hours 2 mins
Saturday,9,9 hours 59 mins
Saturday,10,9 hours 58 mins
Saturday,11,9 hours 57 mins
Saturday,12,10 hours 1 min
Saturday,13,9 hours 51 mins
Saturday,14,9 hours 48 mins
Saturday,15,9 hours 49 mins
Saturday,16,9 hours 46 mins
Saturday,17,9 hours 48 mins
Saturday,18,9 hours 47 mins
Saturday,19,9 hours 51 mins
Saturday,20,9 hours 56 mins
Saturday,21,9 hours 57 mins
Saturday,22,9 hours 55 mins
Saturday,23,9 hours 58 mins
Sunday,0,9 hours 59 mins
Sunday,1,9 hours 57 mins
Sunday,2,9 hours 59 mins
Sunday,3,9 hours 58 mins
Sunday,4,9 hours 57 mins
Sunday,5,9 hours 53 mins
Sunday,6,9 hours 48 mins
Sunday,7,9 hours 47 mins
Sunday,8,9 hours 46 mins
Sunday,9,9 hours 45 mins
Sunday,10,9 hours 44 mins
Sunday,11,9 hours 53 mins
Sunday,12,9 hours 57 mins
Sunday,13,10 hours 6 mins
Sunday,14,10 hours 9 mins
Sunday,15,9 hours 58 mins
Sunday,16,9 hours 56 mins
Sunday,17,9 hours 57 mins
Sunday,18,9 hours 57 mins
Sunday,19,9 hours 59 mins
Sunday,20,10 hours 3 mins
Sunday,21,10 hours 4 mins
Sunday,22,10 hours 2 mins
Sunday,23,10 hours 4 mins
Monday,0,10 hours 6 mins
Monday,1,10 hours 9 mins
Monday,2,10 hours 9 mins
Monday,3,10 hours 10 mins
Monday,4,10 hours 6 mins
Monday,5,10 hours 9 mins
Monday,6,10 hours 8 mins
Monday,7,10 hours 5 mins
Monday,8,9 hours 47 mins
Monday,9,9 hours 52 mins
